241877 3
111423 3
86753 3
169655 3
121021 3
19765 3
23968 3
101351 3
84501 3
241698 3
31790 3
239687 3
77741 3
42110 3
6524 3
200259 2
113827 2
11670 2
145462 2
60875 2
242316 2
70499 2
147551 2
55253 2
40579 2
120441 2
70298 2
193737 2
127365 2
254883 2
140458 2
24393 2
23307 2
200034 2
82769 2
70448 2
113703 2
104118 2
83050 2
108959 2
30400 2
230591 2
28954 2
54594 2
174765 2
91995 2
45588 2
33319 2
15190 2
50739 2
224770 2
259726 2
61160 2
193299 2
220516 2
70626 2
108604 2
140730 2
162924 2
220280 2
75974 2
28546 2
235425 2
259585 2
24290 2
40735 2
150136 2
175291 2
70213 2
162553 2
66344 2
19719 2
24732 2
34729 2
219678 2
184281 2
229302 2
46469 2
46485 2
2274 2
107789 2
24756 2
39909 2
139819 2
60122 2
16186 2
46574 2
164259 2
215440 2
46355 2
199130 2
241272 2
237029 2
77659 2
194695 2
199056 2
69721 2
77155 2
88279 2
129942 2
